code,label
A00,Cholera
A00,Cholera
A00,Cholera
A00,Cholera
A01,Typhoid and paratyphoid fevers
A01,Typhoid and paratyphoid fevers
A01,Typhoid and paratyphoid fevers
A01,Typhoid and paratyphoid fevers
A01,Typhoid and paratyphoid fevers
A01,Typhoid and paratyphoid fevers
A02,Other salmonella infections
A02,Other salmonella infections
A02,Other salmonella infections
A02,Other salmonella infections
A02,Other salmonella infections
A02,Other salmonella infections
A03,Shigellosis
A03,Shigellosis
A03,Shigellosis
A03,Shigellosis
A03,Shigellosis
A03,Shigellosis
A03,Shigellosis
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A04,Other bacterial intestinal infections
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A06,Amoebiasis
A07,Other protozoal intestinal diseases
A07,Other protozoal intestinal diseases
A07,Other protozoal intestinal diseases
A07,Other protozoal intestinal diseases
A07,Other protozoal intestinal diseases
A07,Other protozoal intestinal diseases
A07,Other protozoal intestinal diseases
A08,Viral and other specified intestinal infections
A08,Viral and other specified intestinal infections
A08,Viral and other specified intestinal infections
A08,Viral and other specified intestinal infections
A08,Viral and other specified intestinal infections
A08,Viral and other specified intestinal infections
A08,Viral and other specified intestinal infections
A09,Other gastroenteritis and colitis of infectious and unspecified origin
A09,Other gastroenteritis and colitis of infectious and unspecified origin
A09,Other gastroenteritis and colitis of infectious and unspecified origin
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically "
A17,Tuberculosis of nervous system
A17,Tuberculosis of nervous system
A17,Tuberculosis of nervous system
A17,Tuberculosis of nervous system
A17,Tuberculosis of nervous system
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A18,Tuberculosis of other organs
A19,Miliary tuberculosis
A19,Miliary tuberculosis
A19,Miliary tuberculosis
A19,Miliary tuberculosis
A19,Miliary tuberculosis
A19,Miliary tuberculosis
A20,Plague
A20,Plague
A20,Plague
A20,Plague
A20,Plague
A20,Plague
A20,Plague
A20,Plague
A21,Tularaemia
A21,Tularaemia
A21,Tularaemia
A21,Tularaemia
A21,Tularaemia
A21,Tularaemia
A21,Tularaemia
A21,Tularaemia
A22,Anthrax
A22,Anthrax
A22,Anthrax
A22,Anthrax
A22,Anthrax
A22,Anthrax
A22,Anthrax
A23,Brucellosis
A23,Brucellosis
A23,Brucellosis
A23,Brucellosis
A23,Brucellosis
A23,Brucellosis
A23,Brucellosis
A24,Glanders and melioidosis
A24,Glanders and melioidosis
A24,Glanders and melioidosis
A24,Glanders and melioidosis
A24,Glanders and melioidosis
A24,Glanders and melioidosis
A25,Rat-bite fevers
A25,Rat-bite fevers
A25,Rat-bite fevers
A25,Rat-bite fevers
A26,Erysipeloid
A26,Erysipeloid
A26,Erysipeloid
A26,Erysipeloid
A26,Erysipeloid
A27,Leptospirosis
A27,Leptospirosis
A27,Leptospirosis
A27,Leptospirosis
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A30,Leprosy [Hansen's disease]
A31,Infection due to other mycobacteria
A31,Infection due to other mycobacteria
A31,Infection due to other mycobacteria
A31,Infection due to other mycobacteria
A31,Infection due to other mycobacteria
A32,Listeriosis
A32,Listeriosis
A32,Listeriosis
A32,Listeriosis
A32,Listeriosis
A32,Listeriosis
A33,Tetanus neonatorum
A34,Obstetrical tetanus
A35,Other tetanus
A36,Diphtheria
A36,Diphtheria
A36,Diphtheria
A36,Diphtheria
A36,Diphtheria
A36,Diphtheria
A36,Diphtheria
A37,Whooping cough
A37,Whooping cough
A37,Whooping cough
A37,Whooping cough
A37,Whooping cough
A38,Scarlet fever
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A39,Meningococcal infection
A40,Streptococcal sepsis
A40,Streptococcal sepsis
A40,Streptococcal sepsis
A40,Streptococcal sepsis
A40,Streptococcal sepsis
A40,Streptococcal sepsis
A40,Streptococcal sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A41,Other sepsis
A42,Actinomycosis
A42,Actinomycosis
A42,Actinomycosis
A42,Actinomycosis
A42,Actinomycosis
A42,Actinomycosis
A42,Actinomycosis
A43,Nocardiosis
A43,Nocardiosis
A43,Nocardiosis
A43,Nocardiosis
A43,Nocardiosis
A44,Bartonellosis
A44,Bartonellosis
A44,Bartonellosis
A44,Bartonellosis
A44,Bartonellosis
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A48,"Other bacterial diseases, not elsewhere classified"
A48,"Other bacterial diseases, not elsewhere classified"
A48,"Other bacterial diseases, not elsewhere classified"
A48,"Other bacterial diseases, not elsewhere classified"
A48,"Other bacterial diseases, not elsewhere classified"
A48,"Other bacterial diseases, not elsewhere classified"
A49,Bacterial infection of unspecified site
A49,Bacterial infection of unspecified site
A49,Bacterial infection of unspecified site
A49,Bacterial infection of unspecified site
A49,Bacterial infection of unspecified site
A49,Bacterial infection of unspecified site
A49,Bacterial infection of unspecified site
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A50,Congenital syphilis
A51,Early syphilis
A51,Early syphilis
A51,Early syphilis
A51,Early syphilis
A51,Early syphilis
A51,Early syphilis
A51,Early syphilis
A51,Early syphilis
A52,Late syphilis
A52,Late syphilis
A52,Late syphilis
A52,Late syphilis
A52,Late syphilis
A52,Late syphilis
A52,Late syphilis
A52,Late syphilis
A53,Other and unspecified syphilis
A53,Other and unspecified syphilis
A53,Other and unspecified syphilis
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A54,Gonococcal infection
A55,Chlamydial lymphogranuloma (venereum)
A56,Other sexually transmitted chlamydial diseases
A56,Other sexually transmitted chlamydial diseases
A56,Other sexually transmitted chlamydial diseases
A56,Other sexually transmitted chlamydial diseases
A56,Other sexually transmitted chlamydial diseases
A56,Other sexually transmitted chlamydial diseases
A56,Other sexually transmitted chlamydial diseases
A57,Chancroid
A58,Granuloma inguinale
A59,Trichomoniasis
A59,Trichomoniasis
A59,Trichomoniasis
A59,Trichomoniasis
A60,Anogenital herpesviral [herpes simplex] infection
A60,Anogenital herpesviral [herpes simplex] infection
A60,Anogenital herpesviral [herpes simplex] infection
A60,Anogenital herpesviral [herpes simplex] infection
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,Unspecified sexually transmitted disease
A65,Nonvenereal syphilis
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A66,Yaws
A67,Pinta [carate]
A67,Pinta [carate]
A67,Pinta [carate]
A67,Pinta [carate]
A67,Pinta [carate]
A67,Pinta [carate]
A68,Relapsing fevers
A68,Relapsing fevers
A68,Relapsing fevers
A68,Relapsing fevers
