"icd","age","imd","episodes"
"A00",0,1,5
"A00",5,1,5
"A00",15,1,5
"A00",30,1,5
"A00",45,1,5
"A00",60,1,5
"A00",70,1,5
"A00",80,1,5
"A01",0,1,5
"A01",5,1,15
"A01",15,1,33
"A01",30,1,25
"A01",45,1,9
"A01",60,1,5
"A01",70,1,5
"A01",80,1,5
"A02",0,1,51
"A02",5,1,14
"A02",15,1,25
"A02",30,1,28
"A02",45,1,33
"A02",60,1,27
"A02",70,1,24
"A02",80,1,18
"A03",0,1,5
"A03",5,1,7
"A03",15,1,5
"A03",30,1,5
"A03",45,1,5
"A03",60,1,5
"A03",70,1,5
"A03",80,1,5
"A04",0,1,173
"A04",5,1,78
"A04",15,1,437
"A04",30,1,672
"A04",45,1,1021
"A04",60,1,858
"A04",70,1,1092
"A04",80,1,1493
"A05",0,1,5
"A05",5,1,5
"A05",15,1,7
"A05",30,1,6
"A05",45,1,9
"A05",60,1,5
"A05",70,1,5
"A05",80,1,6
"A06",0,1,5
"A06",5,1,5
"A06",15,1,5
"A06",30,1,6
"A06",45,1,5
"A06",60,1,5
"A06",70,1,5
"A06",80,1,5
"A07",0,1,7
"A07",5,1,9
"A07",15,1,8
"A07",30,1,19
"A07",45,1,13
"A07",60,1,13
"A07",70,1,14
"A07",80,1,5
"A08",0,1,5881
"A08",5,1,1121
"A08",15,1,698
"A08",30,1,521
"A08",45,1,551
"A08",60,1,491
"A08",70,1,519
"A08",80,1,945
"A09",0,1,5642
"A09",5,1,1561
"A09",15,1,5891
"A09",30,1,6215
"A09",45,1,8013
"A09",60,1,6090
"A09",70,1,7279
"A09",80,1,9227
"A15",0,1,5
"A15",5,1,7
"A15",15,1,110
"A15",30,1,127
"A15",45,1,93
"A15",60,1,39
"A15",70,1,34
"A15",80,1,22
"A16",0,1,17
"A16",5,1,23
"A16",15,1,129
"A16",30,1,177
"A16",45,1,131
"A16",60,1,81
"A16",70,1,71
"A16",80,1,44
"A17",0,1,5
"A17",5,1,5
"A17",15,1,26
"A17",30,1,32
"A17",45,1,19
"A17",60,1,7
"A17",70,1,8
"A17",80,1,5
"A18",0,1,12
"A18",5,1,7
"A18",15,1,98
"A18",30,1,142
"A18",45,1,76
"A18",60,1,31
"A18",70,1,33
"A18",80,1,18
"A19",0,1,5
"A19",5,1,5
"A19",15,1,25
"A19",30,1,21
"A19",45,1,16
"A19",60,1,5
"A19",70,1,11
"A19",80,1,5
"A20",0,1,5
"A20",5,1,5
"A20",15,1,5
"A20",30,1,5
"A20",45,1,5
"A20",60,1,5
"A20",70,1,5
"A20",80,1,5
"A21",0,1,5
"A21",5,1,5
"A21",15,1,5
"A21",30,1,5
"A21",45,1,5
"A21",60,1,5
"A21",70,1,5
"A21",80,1,5
"A22",0,1,5
"A22",5,1,5
"A22",15,1,5
"A22",30,1,5
"A22",45,1,5
"A22",60,1,5
"A22",70,1,5
"A22",80,1,5
"A23",0,1,5
"A23",5,1,5
"A23",15,1,5
"A23",30,1,5
"A23",45,1,5
"A23",60,1,5
"A23",70,1,5
"A23",80,1,5
"A24",0,1,5
"A24",5,1,5
"A24",15,1,5
"A24",30,1,5
"A24",45,1,5
"A24",60,1,5
"A24",70,1,5
"A24",80,1,5
"A25",0,1,5
"A25",5,1,5
"A25",15,1,5
"A25",30,1,5
"A25",45,1,5
"A25",60,1,5
"A25",70,1,5
"A25",80,1,5
"A26",0,1,5
"A26",5,1,5
"A26",15,1,5
"A26",30,1,5
"A26",45,1,5
"A26",60,1,5
"A26",70,1,5
"A26",80,1,5
"A27",0,1,5
"A27",5,1,5
"A27",15,1,7
"A27",30,1,7
"A27",45,1,5
"A27",60,1,5
"A27",70,1,5
"A27",80,1,5
"A28",0,1,5
"A28",5,1,5
"A28",15,1,5
"A28",30,1,6
"A28",45,1,11
"A28",60,1,5
"A28",70,1,8
"A28",80,1,5
"A30",0,1,5
"A30",5,1,5
"A30",15,1,5
"A30",30,1,5
"A30",45,1,5
"A30",60,1,5
"A30",70,1,5
"A30",80,1,5
"A31",0,1,5
"A31",5,1,9
"A31",15,1,29
"A31",30,1,22
"A31",45,1,34
"A31",60,1,36
"A31",70,1,25
"A31",80,1,17
"A32",0,1,5
"A32",5,1,5
"A32",15,1,5
"A32",30,1,5
"A32",45,1,5
"A32",60,1,7
"A32",70,1,6
"A32",80,1,7
"A33",0,1,5
"A33",5,1,5
"A33",15,1,5
"A33",30,1,5
"A33",45,1,5
"A33",60,1,5
"A33",70,1,5
"A33",80,1,5
"A34",0,1,5
"A34",5,1,5
"A34",15,1,5
"A34",30,1,5
"A34",45,1,5
"A34",60,1,5
"A34",70,1,5
"A34",80,1,5
"A35",0,1,5
"A35",5,1,5
"A35",15,1,7
"A35",30,1,5
"A35",45,1,5
"A35",60,1,5
"A35",70,1,5
"A35",80,1,5
"A36",0,1,5
"A36",5,1,5
"A36",15,1,5
"A36",30,1,5
"A36",45,1,5
"A36",60,1,5
"A36",70,1,7
"A36",80,1,5
"A37",0,1,102
"A37",5,1,5
"A37",15,1,5
"A37",30,1,5
