age,hes_age
1,0
2,0
3,0
4,0
5,0
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,45
47,45
48,45
49,45
50,45
51,45
52,45
53,45
54,45
55,45
56,45
57,45
58,45
59,45
60,45
61,60
62,60
63,60
64,60
65,60
66,60
67,60
68,60
69,60
70,60
71,70
72,70
73,70
74,70
75,70
76,70
77,70
78,70
79,70
80,70
81,80
82,80
83,80
84,80
85,80
86,80
87,80
88,80
89,80
90,80
91,80
92,80
93,80
94,80
95,80
96,80
97,80
98,80
99,80
100,80
