"ia","imp_weight"
0,1
0.5,1.08927439459209
1,1.18666757475392
1.5,1.29293311027129
2,1.40889576587708
2.5,1.53545828626132
3,1.67360882485708
3.5,1.82442907667518
4,1.9891031810616
4.5,2.16892746639068
5,2.365321115423
5.5,2.57983783740712
6,2.81417864106004
6.5,3.07020581136265
7,3.34995820276532
7.5,3.65566797194437
8,3.98977888480659
8.5,4.35496634510026
9,4.75415930580093
9.5,5.19056423959142
10,5.66769136133011
10.5,6.18938331347546
11,6.75984654528439
11.5,7.38368563823652
12,8.06594085383638
12.5,8.81212920585715
13,9.62828938734827
13.5,10.5210309138045
14,11.497587877581
14.5,12.5658777457829
15,13.7345656742297
15.5,15.0131348542857
16,16.4119634577803
16.5,17.942408797961
17,19.616899382243
17.5,21.4490355957101
18,23.4536998232
18.5,25.6471768933462
19,28.0472858106264
19.5,30.6735238310326
20,33.5472240364914
